"Signatur","Titel","Zeit","Ort"
"Sozarch_F_5033-Nb-021","Schaufenster Filiale LVZ: ""Das gute Brot vom LVZ mit 8% Rückvergütung""","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Nb-022","Schaufenster Filiale LVZ: ""Zum Waschen und Putzen"", verschiedene Putzmittel","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Nb-023","Schaufenster Filiale LVZ: ""Angora, das hochaktive Feinwaschmittel""","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Nb-024","Filiale LVZ ""Allgemeine Konsumgesesellschaft Meilen und Umgebung""","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton;M"
"Sozarch_F_5033-Nb-025","Schaufenster Filiale LVZ: ""Sorgfältige Mischung, herrliches Aroma, beim Kaffee vom LVZ""","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Nb-026","Schaufenster Filiale LVZ: ""Kaffee""","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Nb-027","Schaufenster Filiale LVZ: ""Kaffee aus neuen Importen""","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Nb-028","Schaufenster Filiale LVZ: ""Küche Bad Haushalt"", Werbung für verschiedene Putzmittel","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Nb-029","Schaufenster Filiale LVZ: ""Wieder mehr Fett""","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Nb-030","Schaufenster Filiale LVZ: ""esst Schachtel Käse""","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Nb-031","Schaufenster Filiale LVZ: ""Mehr Käse""","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Nb-032","Schaufenster Filiale LVZ: Rauchwaren","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Nb-033","Schaufenster Filiale LVZ: ""Coop Schokoladen sind vorzüglich in der Qualität und vorteilhaft im Preis""","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Nb-034","Schaufenster Filiale LVZ: ""Coop Schokoladen sind vorzüglich in der Qualität und vorteilhaft im Preis""","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Nb-035","Schaufenster Filiale LVZ: ""Süssmost""","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Nb-036","Schaufenster Filiale LVZ: ""De Siegeschranz am Schwinger winkt, wänn er vorher Süssmoscht trinkt""","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton"
"Sozarch_F_5033-Nb-037","Schaufenster Filiale LVZ: ""Hinaus ins Freie""","Neuzeit;20. Jh.;1901-1950;1931-1940 /Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Schweiz;Zürich, Kanton"
